@relation FusionTrain
@attribute h_0 numeric
@attribute h_1 numeric
@attribute h_2 numeric
@attribute h_3 numeric
@attribute h_4 numeric
@attribute h_5 numeric
@attribute h_6 numeric
@attribute h_7 numeric
@attribute h_8 numeric
@attribute h_9 numeric
@attribute h_10 numeric
@attribute h_11 numeric
@attribute h_12 numeric
@attribute h_13 numeric
@attribute h_14 numeric
@attribute h_15 numeric
@attribute label {A,B,C}
@data
0.42579135,0.5663364,0.116601326,0.1298833,0.17329821,0.23975329,0.19679016,0.21739078,0.29961255,0.2923391,0.1503484,0.1108187,0.18920045,0.16688311,0.071605235,0.12292608,B
0.42454746,0.5667715,0.11749535,0.12983711,0.1749998,0.24141023,0.19565983,0.2183994,0.29801053,0.29181704,0.15058754,0.11121145,0.1892855,0.16650072,0.072016194,0.123417586,B
0.43978867,0.55456334,0.11794024,0.13001464,0.17573458,0.24510586,0.19219556,0.21914816,0.30276453,0.28874555,0.14873676,0.10993586,0.18731153,0.1671423,0.07222031,0.12173893,B
0.59820634,0.4421437,0.11350749,0.08612451,0.08186494,0.17269526,0.11805103,0.23204532,0.34997463,0.1842164,0.14932847,0.24867794,0.28169978,0.044867504,0.011115458,0.0010547515,C
0.59647024,0.44499734,0.11350315,0.085604526,0.08211212,0.17283343,0.119838215,0.23317893,0.34639782,0.18595025,0.14960487,0.24893536,0.2821132,0.0447109,0.011614276,9.340152E-4,C
0.60048085,0.44121018,0.11280827,0.085377194,0.083185956,0.17396009,0.11857042,0.23166274,0.34552604,0.1864177,0.14924778,0.24955787,0.28104678,0.044960994,0.011361984,0.0010550413,C
0.59849125,0.44279015,0.11109328,0.0860496,0.08377659,0.17169331,0.119535886,0.23265864,0.34679613,0.18780732,0.14851674,0.24913795,0.2815689,0.044770148,0.011405631,0.0011770936,C
0.5988908,0.4413285,0.11184325,0.08616433,0.082756706,0.17261264,0.11813114,0.23248954,0.3479838,0.18705449,0.14705542,0.25033903,0.28202185,0.043771803,0.012048402,0.0010547423,C
0.5970746,0.44423458,0.11124127,0.08709368,0.083075844,0.17029127,0.11968278,0.23124874,0.34878054,0.18717429,0.14870048,0.24963337,0.28157312,0.04431794,0.011728832,0.0010146048,C
0.5983727,0.44243956,0.11117795,0.08723817,0.08305886,0.17131142,0.11848161,0.23205355,0.34720793,0.18810984,0.14858893,0.2499881,0.28208363,0.043213326,0.011929313,9.738215E-4,C
0.5962202,0.44466078,0.111692436,0.08529019,0.08362738,0.17272988,0.11566696,0.23356453,0.3485826,0.18595128,0.14640874,0.25132826,0.28194836,0.044328187,0.011761367,9.7335456E-4,C
0.59563804,0.44482097,0.11197638,0.0857985,0.08279514,0.17204344,0.11769898,0.23438331,0.3477396,0.18738489,0.14639318,0.25240344,0.28097588,0.044076238,0.011891656,9.740605E-4,C
0.5958813,0.44482994,0.112029746,0.085717574,0.08413397,0.17285633,0.11824234,0.23242415,0.34778354,0.18731178,0.14743748,0.2492347,0.28318065,0.04421906,0.012303375,8.9331437E-4,C
0.5994661,0.43949473,0.1145148,0.08571345,0.08282926,0.17382364,0.11760211,0.23431052,0.34675357,0.18678221,0.14932828,0.2501533,0.2812295,0.04435976,0.01255235,8.9369476E-4,C
