@relation FusionTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute s numeric
@attribute l numeric
@attribute label {A,B,C,D}
@data
406.0,270.0,307.0,265.0,154.0,129.0,147.0,53.0,55.0,57.0,66.0,82.0,58.0,42.0,75.0,64.0,64.0,35.0,45.0,33.0,74.0,60.0,44.0,32.0,54.0,75.0,69.0,40.0,41.0,32.0,29.0,153.0,136.0,A
458.0,392.0,149.0,175.0,179.0,143.0,116.0,33.0,58.0,61.0,49.0,59.0,68.0,45.0,96.0,91.0,42.0,44.0,38.0,47.0,75.0,35.0,65.0,51.0,33.0,42.0,58.0,27.0,61.0,64.0,67.0,153.0,142.0,A
725.0,370.0,228.0,131.0,126.0,157.0,91.0,46.0,45.0,76.0,36.0,71.0,57.0,80.0,99.0,54.0,69.0,37.0,26.0,54.0,68.0,59.0,75.0,66.0,36.0,23.0,44.0,21.0,72.0,74.0,46.0,178.66667,148.33333,A
393.0,301.0,232.0,178.0,104.0,87.0,66.0,46.0,35.0,67.0,60.0,72.0,88.0,86.0,62.0,31.0,79.0,51.0,30.0,60.0,53.0,47.0,45.0,51.0,21.0,24.0,37.0,40.0,77.0,39.0,35.0,153.0,141.5,A
245.0,141.0,197.0,244.0,136.0,50.0,50.0,77.0,75.0,69.0,44.0,72.0,66.0,56.0,50.0,44.0,86.0,49.0,13.0,43.0,51.0,49.0,29.0,45.0,38.0,19.0,31.0,68.0,64.0,25.0,36.0,153.0,137.0,A
339.0,205.0,323.0,292.0,102.0,79.0,101.0,138.0,95.0,81.0,69.0,49.0,56.0,49.0,72.0,35.0,83.0,52.0,21.0,30.0,49.0,43.0,42.0,61.0,49.0,25.0,36.0,47.0,54.0,22.0,23.0,191.5,114.0,A
454.0,217.0,355.0,291.0,127.0,123.0,105.0,109.0,94.0,79.0,87.0,47.0,46.0,58.0,65.0,28.0,85.0,81.0,30.0,11.0,32.0,20.0,18.0,49.0,43.0,16.0,28.0,44.0,40.0,57.0,55.0,153.0,113.0,A
541.0,147.0,265.0,427.0,253.0,70.0,90.0,53.0,96.0,51.0,80.0,62.0,30.0,40.0,45.0,40.0,79.0,90.0,49.0,40.0,42.0,27.0,24.0,64.0,66.0,30.0,20.0,35.0,41.0,60.0,71.0,191.5,118.0,A
387.0,186.0,231.0,353.0,265.0,78.0,68.0,84.0,91.0,29.0,62.0,48.0,24.0,56.0,79.0,37.0,58.0,52.0,70.0,44.0,41.0,47.0,56.0,77.0,70.0,41.0,46.0,62.0,52.0,25.0,49.0,230.0,151.0,A
563.0,220.0,139.0,183.0,188.0,79.0,74.0,82.0,88.0,39.0,41.0,22.0,26.0,84.0,113.0,76.0,31.0,43.0,62.0,29.0,35.0,33.0,53.0,60.0,35.0,54.0,72.0,61.0,42.0,33.0,55.0,191.5,140.5,A
496.0,236.0,94.0,130.0,102.0,148.0,104.0,49.0,48.0,81.0,56.0,21.0,35.0,95.0,94.0,68.0,43.0,40.0,65.0,56.0,48.0,33.0,29.0,45.0,43.0,77.0,50.0,46.0,61.0,71.0,67.0,230.0,141.0,A
840.0,164.0,139.0,222.0,151.0,147.0,99.0,51.0,31.0,71.0,70.0,52.0,51.0,71.0,52.0,32.0,33.0,54.0,76.0,66.0,59.0,27.0,34.0,38.0,52.0,75.0,25.0,34.0,83.0,76.0,21.0,230.0,132.5,A
332.0,172.0,232.0,131.0,81.0,62.0,55.0,66.0,77.0,70.0,46.0,42.0,26.0,58.0,36.0,24.0,26.0,29.0,31.0,22.0,31.0,24.0,31.0,41.0,11.0,35.0,47.0,25.0,21.0,46.0,50.0,264.0,142.0,B
631.0,285.0,139.0,74.0,38.0,24.0,58.0,63.0,36.0,64.0,46.0,24.0,30.0,47.0,37.0,23.0,8.0,27.0,27.0,29.0,45.0,37.0,48.0,50.0,35.0,50.0,44.0,28.0,30.0,32.0,18.0,294.0,144.0,B
557.0,314.0,54.0,100.0,64.0,26.0,49.0,48.0,13.0,35.0,46.0,18.0,34.0,20.0,24.0,21.0,21.0,27.0,32.0,21.0,46.0,40.0,46.0,54.0,43.0,43.0,39.0,22.0,24.0,23.0,13.0,217.0,150.5,B
164.0,347.0,91.0,166.0,138.0,101.0,71.0,58.0,48.0,61.0,36.0,34.0,48.0,43.0,40.0,40.0,41.0,41.0,39.0,39.0,41.0,35.0,47.0,41.0,40.0,46.0,31.0,18.0,16.0,14.0,12.0,294.0,148.0,B
591.0,273.0,172.0,171.0,121.0,168.0,110.0,58.0,69.0,72.0,43.0,62.0,57.0,55.0,45.0,37.0,47.0,48.0,45.0,46.0,54.0,72.0,69.0,38.0,50.0,80.0,55.0,23.0,16.0,16.0,18.0,294.0,139.0,B
442.0,254.0,117.0,152.0,76.0,178.0,146.0,68.0,42.0,54.0,57.0,75.0,63.0,46.0,42.0,55.0,54.0,51.0,65.0,34.0,41.0,70.0,75.0,48.0,48.0,80.0,69.0,38.0,28.0,27.0,17.0,281.0,116.5,B
235.0,184.0,136.0,157.0,138.0,99.0,130.0,85.0,72.0,68.0,65.0,53.0,61.0,55.0,42.0,46.0,42.0,62.0,63.0,29.0,32.0,44.0,52.0,37.0,33.0,53.0,30.0,54.0,45.0,24.0,37.0,255.5,124.5,B
789.0,234.0,75.0,219.0,150.0,70.0,70.0,77.0,72.0,61.0,35.0,52.0,60.0,62.0,66.0,44.0,39.0,62.0,66.0,52.0,35.0,34.0,41.0,25.0,33.0,39.0,31.0,33.0,53.0,52.0,75.0,306.5,148.0,B
1491.0,436.0,261.0,320.0,225.0,153.0,78.0,57.0,61.0,100.0,57.0,54.0,78.0,58.0,56.0,61.0,33.0,53.0,80.0,67.0,38.0,43.0,49.0,57.0,57.0,46.0,51.0,35.0,52.0,84.0,95.0,281.0,154.0,B
1588.0,606.0,255.0,351.0,242.0,275.0,143.0,70.0,102.0,129.0,82.0,61.0,68.0,51.0,32.0,43.0,30.0,60.0,83.0,44.0,39.0,59.0,59.0,48.0,72.0,93.0,76.0,25.0,51.0,73.0,61.0,230.0,150.0,B
762.0,563.0,301.0,216.0,370.0,349.0,94.0,64.0,123.0,114.0,54.0,41.0,26.0,34.0,25.0,26.0,36.0,50.0,60.0,34.0,52.0,58.0,40.0,36.0,62.0,111.0,83.0,36.0,54.0,28.0,12.0,255.5,142.5,B
769.0,292.0,124.0,307.0,468.0,297.0,62.0,75.0,64.0,55.0,45.0,33.0,26.0,31.0,23.0,23.0,24.0,22.0,38.0,33.0,74.0,46.0,34.0,31.0,77.0,60.0,50.0,38.0,33.0,22.0,25.0,294.0,143.5,B
630.0,235.0,126.0,316.0,349.0,197.0,66.0,107.0,70.0,70.0,32.0,42.0,35.0,32.0,24.0,23.0,31.0,38.0,39.0,67.0,84.0,54.0,53.0,58.0,68.0,39.0,26.0,22.0,32.0,43.0,47.0,306.5,151.5,B
170.0,295.0,197.0,283.0,205.0,92.0,119.0,119.0,78.0,74.0,43.0,38.0,24.0,32.0,21.0,24.0,34.0,37.0,29.0,52.0,69.0,70.0,59.0,58.0,55.0,53.0,33.0,29.0,40.0,42.0,40.0,307.0,148.0,B
1175.0,513.0,245.0,224.0,101.0,86.0,90.0,64.0,65.0,71.0,61.0,34.0,44.0,36.0,48.0,48.0,33.0,37.0,32.0,26.0,26.0,64.0,63.0,44.0,60.0,36.0,62.0,50.0,42.0,49.0,8.0,221.33333,144.0,B
1609.0,525.0,246.0,173.0,117.0,104.0,76.0,56.0,62.0,53.0,58.0,48.0,65.0,66.0,50.0,71.0,54.0,55.0,21.0,32.0,42.0,34.0,27.0,25.0,83.0,93.0,81.0,52.0,57.0,52.0,39.0,230.0,129.0,B
699.0,576.0,206.0,238.0,198.0,80.0,58.0,62.0,56.0,64.0,62.0,73.0,56.0,48.0,33.0,79.0,69.0,66.0,39.0,40.0,47.0,57.0,54.0,53.0,72.0,86.0,69.0,54.0,61.0,93.0,88.0,230.0,143.0,B
383.0,193.0,231.0,291.0,270.0,99.0,42.0,58.0,54.0,54.0,47.0,59.0,51.0,44.0,58.0,63.0,49.0,59.0,57.0,23.0,38.0,64.0,73.0,37.0,54.0,54.0,53.0,50.0,66.0,103.0,140.0,281.0,160.0,B
800.0,359.0,271.0,166.0,317.0,195.0,78.0,57.0,67.0,52.0,24.0,45.0,39.0,52.0,64.0,59.0,33.0,51.0,48.0,24.0,39.0,81.0,62.0,61.0,67.0,52.0,24.0,36.0,56.0,72.0,109.0,294.0,143.5,B
791.0,323.0,250.0,175.0,278.0,230.0,106.0,52.0,53.0,43.0,62.0,73.0,65.0,44.0,57.0,64.0,52.0,43.0,41.0,29.0,42.0,92.0,104.0,58.0,42.0,46.0,25.0,18.0,51.0,33.0,55.0,242.5,126.0,B
473.0,146.0,140.0,227.0,134.0,165.0,99.0,52.0,57.0,29.0,68.0,94.0,47.0,39.0,56.0,104.0,82.0,24.0,47.0,28.0,38.0,60.0,95.0,45.0,38.0,30.0,30.0,34.0,54.0,32.0,24.0,281.0,124.0,B
299.0,166.0,227.0,109.0,78.0,123.0,91.0,56.0,35.0,36.0,49.0,84.0,66.0,39.0,63.0,130.0,78.0,30.0,41.0,39.0,26.0,29.0,54.0,73.0,43.0,23.0,20.0,40.0,50.0,29.0,22.0,294.0,155.5,B
1168.0,658.0,254.0,164.0,151.0,134.0,41.0,71.0,72.0,46.0,73.0,69.0,91.0,54.0,124.0,115.0,59.0,33.0,23.0,39.0,37.0,47.0,50.0,59.0,49.0,26.0,13.0,31.0,44.0,28.0,29.0,294.0,148.5,B
1980.0,871.0,323.0,215.0,160.0,134.0,69.0,62.0,54.0,88.0,91.0,76.0,103.0,63.0,133.0,86.0,60.0,43.0,29.0,39.0,38.0,54.0,54.0,38.0,39.0,28.0,16.0,27.0,40.0,37.0,30.0,230.0,144.0,B
1065.0,967.0,388.0,294.0,66.0,157.0,71.0,57.0,39.0,95.0,65.0,82.0,78.0,68.0,94.0,63.0,66.0,44.0,22.0,50.0,41.0,48.0,30.0,44.0,55.0,68.0,33.0,34.0,41.0,15.0,50.0,217.0,173.0,B
313.0,480.0,469.0,360.0,248.0,241.0,135.0,102.0,121.0,69.0,27.0,64.0,26.0,58.0,52.0,66.0,51.0,66.0,65.0,62.0,36.0,53.0,44.0,45.0,78.0,85.0,46.0,27.0,48.0,55.0,72.0,230.0,170.5,B
551.0,251.0,248.0,263.0,379.0,293.0,121.0,131.0,122.0,76.0,59.0,69.0,60.0,70.0,85.0,35.0,29.0,66.0,98.0,50.0,44.0,66.0,41.0,36.0,58.0,68.0,34.0,27.0,51.0,73.0,92.0,345.0,180.5,B
262.0,119.0,139.0,153.0,359.0,283.0,63.0,93.0,63.0,64.0,81.0,55.0,60.0,57.0,83.0,47.0,36.0,51.0,89.0,56.0,50.0,50.0,37.0,26.0,27.0,29.0,36.0,25.0,37.0,76.0,56.0,268.5,167.0,B
115.0,119.0,127.0,230.0,352.0,288.0,93.0,89.0,56.0,50.0,67.0,49.0,57.0,50.0,73.0,79.0,52.0,43.0,57.0,74.0,56.0,26.0,27.0,45.0,41.0,59.0,47.0,43.0,56.0,68.0,106.0,268.5,161.0,B
140.0,68.0,125.0,235.0,244.0,182.0,96.0,86.0,94.0,58.0,56.0,41.0,29.0,36.0,58.0,31.0,43.0,39.0,48.0,59.0,32.0,27.0,35.0,40.0,38.0,58.0,67.0,38.0,34.0,49.0,79.0,268.25,148.25,B
308.0,249.0,291.0,354.0,243.0,199.0,161.0,92.0,104.0,62.0,48.0,49.0,42.0,51.0,59.0,40.0,32.0,30.0,31.0,72.0,61.0,29.0,43.0,43.0,30.0,76.0,81.0,38.0,23.0,40.0,51.0,294.0,142.0,B
302.0,504.0,464.0,382.0,156.0,171.0,155.0,99.0,82.0,46.0,35.0,53.0,36.0,61.0,74.0,56.0,32.0,46.0,34.0,89.0,65.0,39.0,56.0,43.0,29.0,90.0,83.0,49.0,25.0,30.0,48.0,319.5,151.0,B
582.0,423.0,276.0,326.0,77.0,98.0,165.0,87.0,44.0,86.0,83.0,63.0,58.0,30.0,57.0,28.0,46.0,66.0,47.0,89.0,54.0,73.0,40.0,32.0,72.0,71.0,48.0,46.0,46.0,45.0,45.0,217.0,160.5,B
627.0,103.0,147.0,310.0,259.0,160.0,176.0,194.0,131.0,143.0,119.0,89.0,57.0,22.0,38.0,29.0,49.0,57.0,32.0,70.0,56.0,68.0,42.0,46.0,83.0,56.0,43.0,36.0,43.0,46.0,48.0,306.5,157.5,B
546.0,144.0,212.0,346.0,231.0,180.0,190.0,232.0,153.0,102.0,106.0,72.0,49.0,49.0,55.0,47.0,51.0,41.0,37.0,51.0,38.0,44.0,46.0,41.0,79.0,91.0,63.0,51.0,26.0,20.0,42.0,307.0,158.0,B
356.0,218.0,182.0,339.0,192.0,142.0,181.0,154.0,87.0,42.0,59.0,61.0,38.0,75.0,82.0,41.0,31.0,43.0,64.0,46.0,28.0,32.0,59.0,42.0,40.0,87.0,71.0,48.0,25.0,24.0,27.0,281.0,154.0,B
228.0,149.0,132.0,131.0,80.0,57.0,96.0,102.0,87.0,62.0,31.0,48.0,44.0,47.0,36.0,38.0,39.0,40.0,46.0,45.0,44.0,46.0,75.0,47.0,12.0,26.0,46.0,57.0,48.0,47.0,39.0,281.0,43.0,C
648.0,524.0,466.0,548.0,325.0,135.0,132.0,73.0,92.0,64.0,78.0,91.0,72.0,50.0,46.0,75.0,77.0,36.0,25.0,41.0,42.0,65.0,81.0,43.0,39.0,34.0,50.0,47.0,32.0,33.0,49.0,255.5,56.0,C
1598.0,661.0,145.0,437.0,186.0,86.0,76.0,68.0,78.0,47.0,57.0,60.0,30.0,29.0,26.0,46.0,85.0,59.0,47.0,35.0,44.0,67.0,82.0,53.0,45.0,38.0,57.0,61.0,51.0,47.0,79.0,294.0,51.5,C
1756.0,788.0,487.0,466.0,251.0,93.0,104.0,46.0,60.0,30.0,39.0,46.0,25.0,35.0,27.0,55.0,80.0,70.0,50.0,35.0,53.0,58.0,63.0,60.0,68.0,43.0,69.0,63.0,50.0,56.0,79.0,217.0,47.5,C
581.0,776.0,439.0,483.0,293.0,235.0,84.0,63.0,68.0,51.0,69.0,75.0,69.0,72.0,41.0,33.0,54.0,68.0,47.0,38.0,48.0,34.0,60.0,77.0,64.0,49.0,66.0,53.0,25.0,34.0,52.0,319.5,21.0,C
914.0,446.0,205.0,339.0,413.0,270.0,89.0,75.0,91.0,92.0,84.0,69.0,118.0,89.0,29.0,46.0,65.0,75.0,57.0,70.0,78.0,45.0,54.0,70.0,54.0,42.0,42.0,44.0,20.0,29.0,50.0,289.66666,28.5,C
663.0,323.0,243.0,398.0,369.0,207.0,105.0,78.0,85.0,50.0,70.0,80.0,130.0,79.0,36.0,38.0,70.0,84.0,49.0,80.0,76.0,50.0,55.0,73.0,64.0,47.0,36.0,57.0,54.0,50.0,67.0,191.5,26.5,C
304.0,287.0,245.0,292.0,176.0,177.0,118.0,105.0,55.0,40.0,64.0,77.0,113.0,46.0,46.0,40.0,53.0,78.0,69.0,59.0,32.0,53.0,66.0,47.0,67.0,51.0,31.0,58.0,69.0,65.0,52.0,230.0,45.5,C
1083.0,374.0,300.0,160.0,97.0,117.0,121.0,140.0,105.0,100.0,92.0,64.0,95.0,38.0,57.0,36.0,46.0,48.0,52.0,54.0,30.0,41.0,45.0,90.0,88.0,47.0,47.0,25.0,51.0,35.0,20.0,230.0,56.0,C
1291.0,362.0,243.0,265.0,184.0,183.0,146.0,137.0,148.0,131.0,85.0,84.0,82.0,41.0,47.0,33.0,45.0,45.0,10.0,44.0,47.0,34.0,30.0,84.0,89.0,16.0,58.0,40.0,47.0,56.0,48.0,281.0,59.0,C
515.0,346.0,345.0,355.0,163.0,207.0,101.0,82.0,80.0,85.0,55.0,57.0,61.0,47.0,63.0,90.0,81.0,49.0,34.0,34.0,20.0,53.0,38.0,45.0,73.0,58.0,53.0,47.0,50.0,70.0,82.0,191.5,51.0,C
594.0,205.0,320.0,350.0,186.0,188.0,161.0,96.0,50.0,64.0,53.0,46.0,43.0,80.0,84.0,87.0,105.0,62.0,27.0,39.0,42.0,67.0,46.0,40.0,31.0,62.0,40.0,29.0,39.0,37.0,66.0,281.0,33.0,C
792.0,251.0,360.0,198.0,198.0,162.0,114.0,124.0,109.0,103.0,71.0,55.0,61.0,86.0,79.0,53.0,86.0,65.0,31.0,45.0,50.0,52.0,72.0,49.0,53.0,53.0,33.0,32.0,37.0,30.0,21.0,306.5,9.5,C
