x,y,z
331.0,312.0,288.0
334.0,332.0,284.0
336.0,337.0,281.0
340.0,339.0,279.0
340.0,339.0,278.0
343.0,343.0,282.0
348.0,344.0,297.0
352.0,341.0,328.0
348.0,328.0,392.0
334.0,340.0,490.0
298.0,341.0,622.0
266.0,292.0,655.0
262.0,286.0,658.0
271.0,353.0,601.0
279.0,383.0,549.0
277.0,370.0,495.0
278.0,360.0,471.0
283.0,344.0,452.0
289.0,322.0,443.0
296.0,291.0,430.0
306.0,283.0,406.0
309.0,298.0,375.0
316.0,318.0,357.0
319.0,329.0,338.0
319.0,333.0,318.0
321.0,328.0,308.0
320.0,320.0,302.0
319.0,302.0,316.0
318.0,278.0,328.0
319.0,268.0,317.0
324.0,291.0,304.0
328.0,312.0,294.0
335.0,329.0,276.0
339.0,331.0,261.0
341.0,325.0,255.0
347.0,328.0,251.0
348.0,334.0,249.0
352.0,343.0,273.0
357.0,353.0,303.0
363.0,380.0,351.0
361.0,394.0,443.0
338.0,374.0,557.0
289.0,326.0,647.0
254.0,267.0,659.0
251.0,293.0,661.0
263.0,341.0,605.0
274.0,371.0,538.0
281.0,362.0,474.0
284.0,346.0,443.0
287.0,333.0,435.0
292.0,298.0,443.0
294.0,274.0,423.0
300.0,293.0,409.0
305.0,312.0,387.0
309.0,324.0,358.0
313.0,334.0,337.0
314.0,339.0,322.0
317.0,336.0,306.0
320.0,329.0,291.0
322.0,313.0,276.0
326.0,301.0,265.0
329.0,297.0,257.0
332.0,311.0,256.0
338.0,325.0,256.0
340.0,335.0,259.0
342.0,341.0,274.0
343.0,348.0,288.0
344.0,354.0,304.0
346.0,354.0,330.0
346.0,343.0,382.0
333.0,327.0,452.0
304.0,308.0,550.0
275.0,278.0,639.0
259.0,258.0,645.0
263.0,291.0,586.0
273.0,336.0,541.0
275.0,339.0,510.0
275.0,328.0,475.0
278.0,340.0,448.0
285.0,334.0,434.0
292.0,316.0,417.0
297.0,304.0,393.0
301.0,302.0,380.0
305.0,312.0,359.0
306.0,326.0,338.0
307.0,332.0,327.0
309.0,331.0,316.0
311.0,324.0,303.0
312.0,311.0,296.0
315.0,301.0,292.0
319.0,300.0,286.0
324.0,316.0,281.0
328.0,331.0,279.0
332.0,338.0,279.0
335.0,338.0,287.0
337.0,337.0,297.0
341.0,340.0,307.0
344.0,350.0,324.0
344.0,352.0,363.0
342.0,341.0,408.0
330.0,335.0,467.0
307.0,326.0,561.0
280.0,292.0,641.0
264.0,287.0,652.0
267.0,329.0,599.0
273.0,358.0,556.0
278.0,358.0,505.0
281.0,356.0,461.0
287.0,342.0,450.0
289.0,312.0,438.0
294.0,293.0,422.0
296.0,289.0,405.0
297.0,308.0,402.0
298.0,327.0,388.0
300.0,341.0,370.0
302.0,345.0,352.0
303.0,347.0,340.0
305.0,342.0,331.0
308.0,330.0,322.0
311.0,320.0,313.0
314.0,309.0,304.0
318.0,303.0,293.0
321.0,304.0,287.0
325.0,314.0,284.0
327.0,326.0,286.0
331.0,339.0,286.0
331.0,344.0,285.0
333.0,345.0,286.0
334.0,339.0,291.0
338.0,338.0,307.0
341.0,335.0,323.0
342.0,329.0,372.0
335.0,306.0,452.0
311.0,277.0,534.0
279.0,255.0,607.0
256.0,293.0,649.0
251.0,360.0,642.0
260.0,400.0,580.0
272.0,389.0,515.0
279.0,343.0,468.0
282.0,305.0,436.0
288.0,277.0,422.0
294.0,280.0,401.0
298.0,287.0,371.0
300.0,317.0,356.0
302.0,337.0,340.0
303.0,350.0,324.0
301.0,351.0,312.0
302.0,340.0,309.0
304.0,318.0,306.0
306.0,300.0,301.0
311.0,299.0,290.0
319.0,307.0,276.0
324.0,320.0,272.0
325.0,332.0,273.0
326.0,346.0,281.0
326.0,344.0,297.0
325.0,324.0,318.0
324.0,302.0,345.0
322.0,275.0,373.0
321.0,253.0,399.0
321.0,265.0,425.0
318.0,299.0,460.0
301.0,362.0,515.0
276.0,418.0,600.0
255.0,445.0,652.0
249.0,442.0,622.0
259.0,402.0,553.0
273.0,368.0,497.0
287.0,339.0,451.0
296.0,332.0,412.0
303.0,335.0,384.0
302.0,314.0,363.0
303.0,303.0,357.0
303.0,310.0,341.0
304.0,318.0,330.0
303.0,325.0,325.0
303.0,325.0,319.0
304.0,315.0,311.0
306.0,306.0,300.0
309.0,306.0,290.0
315.0,311.0,277.0
320.0,318.0,268.0
323.0,328.0,263.0
325.0,337.0,262.0
325.0,339.0,274.0
325.0,343.0,287.0
326.0,349.0,301.0
328.0,352.0,322.0
330.0,355.0,337.0
331.0,367.0,361.0
327.0,375.0,418.0
317.0,377.0,477.0
300.0,358.0,529.0
280.0,330.0,554.0
269.0,321.0,556.0
259.0,314.0,562.0
259.0,323.0,549.0
264.0,337.0,510.0
275.0,337.0,472.0
284.0,334.0,438.0
291.0,319.0,405.0
295.0,298.0,389.0
298.0,271.0,381.0
302.0,252.0,369.0
305.0,248.0,350.0
306.0,257.0,331.0
309.0,267.0,325.0
309.0,260.0,309.0
313.0,260.0,292.0
314.0,264.0,281.0
313.0,281.0,279.0
315.0,287.0,286.0
315.0,295.0,294.0
312.0,303.0,309.0
310.0,313.0,319.0
311.0,322.0,317.0
311.0,326.0,320.0
310.0,318.0,338.0
310.0,294.0,354.0
310.0,277.0,363.0
310.0,280.0,370.0
313.0,280.0,379.0
314.0,290.0,385.0
315.0,314.0,394.0
317.0,333.0,397.0
317.0,344.0,399.0
316.0,356.0,409.0
317.0,363.0,411.0
317.0,367.0,419.0
314.0,379.0,431.0
309.0,377.0,450.0
307.0,372.0,457.0
305.0,388.0,454.0
305.0,414.0,451.0
307.0,430.0,446.0
307.0,435.0,444.0
307.0,431.0,441.0
306.0,420.0,438.0
306.0,420.0,438.0
310.0,420.0,426.0
312.0,415.0,417.0
318.0,406.0,400.0
320.0,398.0,396.0
322.0,393.0,388.0
327.0,382.0,378.0
329.0,374.0,374.0
330.0,360.0,371.0
331.0,342.0,364.0
331.0,324.0,356.0
330.0,314.0,349.0
330.0,309.0,340.0
330.0,304.0,335.0
331.0,295.0,332.0
328.0,294.0,328.0
329.0,291.0,326.0
329.0,292.0,325.0
325.0,264.0,343.0
320.0,228.0,349.0
315.0,209.0,352.0
314.0,205.0,344.0
316.0,212.0,328.0
319.0,221.0,312.0
322.0,232.0,300.0
321.0,233.0,298.0
320.0,227.0,308.0
318.0,222.0,312.0
316.0,220.0,316.0
315.0,211.0,323.0
315.0,215.0,320.0
315.0,230.0,318.0
316.0,241.0,314.0
317.0,241.0,321.0
320.0,239.0,321.0
323.0,252.0,320.0
325.0,264.0,323.0
331.0,281.0,321.0
332.0,301.0,320.0
334.0,315.0,329.0
330.0,328.0,343.0
330.0,328.0,362.0
329.0,333.0,364.0
326.0,344.0,369.0
328.0,353.0,374.0
327.0,364.0,374.0
326.0,370.0,380.0
325.0,379.0,380.0
322.0,389.0,390.0
320.0,392.0,399.0
317.0,395.0,406.0
312.0,406.0,415.0
309.0,412.0,423.0
306.0,419.0,422.0
304.0,426.0,422.0
303.0,434.0,422.0
305.0,433.0,416.0
308.0,417.0,409.0
310.0,403.0,398.0
311.0,396.0,399.0
308.0,397.0,414.0
306.0,405.0,431.0
306.0,393.0,428.0
306.0,375.0,425.0
308.0,368.0,417.0
312.0,367.0,401.0
315.0,343.0,379.0
317.0,348.0,369.0
323.0,343.0,364.0
324.0,332.0,356.0
325.0,312.0,361.0
324.0,286.0,361.0
322.0,274.0,354.0
322.0,278.0,348.0
318.0,261.0,343.0
315.0,259.0,346.0
314.0,259.0,341.0
314.0,256.0,336.0
312.0,243.0,333.0
312.0,218.0,325.0
311.0,176.0,319.0
317.0,161.0,307.0
323.0,183.0,300.0
326.0,227.0,300.0
322.0,268.0,317.0
317.0,295.0,336.0
308.0,298.0,353.0
305.0,283.0,360.0
305.0,260.0,357.0
308.0,249.0,355.0
316.0,243.0,350.0
330.0,262.0,339.0
336.0,312.0,325.0
336.0,360.0,330.0
330.0,388.0,348.0
324.0,397.0,364.0
317.0,385.0,378.0
309.0,364.0,392.0
305.0,347.0,399.0
305.0,345.0,395.0
307.0,359.0,386.0
310.0,380.0,383.0
309.0,399.0,389.0
307.0,419.0,400.0
305.0,429.0,410.0
300.0,428.0,416.0
299.0,426.0,418.0
299.0,430.0,415.0
300.0,427.0,403.0
304.0,407.0,386.0
307.0,388.0,384.0
305.0,385.0,391.0
305.0,385.0,390.0
301.0,389.0,402.0
301.0,385.0,412.0
301.0,367.0,404.0
302.0,351.0,401.0
303.0,338.0,386.0
306.0,324.0,371.0
308.0,314.0,367.0
309.0,301.0,364.0
309.0,291.0,360.0
305.0,294.0,364.0
307.0,293.0,362.0
307.0,285.0,357.0
307.0,278.0,356.0
307.0,273.0,349.0
307.0,266.0,343.0
306.0,260.0,342.0
307.0,256.0,342.0
306.0,257.0,340.0
307.0,255.0,337.0
308.0,239.0,335.0
310.0,229.0,331.0
312.0,225.0,326.0
312.0,235.0,320.0
312.0,247.0,324.0
312.0,250.0,322.0
311.0,247.0,325.0
310.0,241.0,331.0
312.0,237.0,338.0
314.0,238.0,340.0
318.0,250.0,344.0
321.0,271.0,341.0
322.0,295.0,338.0
322.0,315.0,340.0
322.0,321.0,344.0
320.0,321.0,351.0
320.0,316.0,357.0
322.0,314.0,366.0
323.0,333.0,370.0
320.0,355.0,370.0
319.0,376.0,376.0
316.0,395.0,383.0
313.0,405.0,390.0
311.0,398.0,395.0
310.0,395.0,395.0
309.0,402.0,392.0
309.0,402.0,390.0
308.0,401.0,390.0
309.0,404.0,393.0
309.0,407.0,392.0
309.0,407.0,391.0
309.0,408.0,391.0
310.0,403.0,390.0
311.0,399.0,389.0
310.0,403.0,395.0
309.0,415.0,402.0
